Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
4.26,PlayerRed,0.009063721,-0.09742737,-0.006622462,3.058449,(0.0, 0.1),0,0,0,0,0
4.28,PlayerRed,0.009063721,-0.09742737,-0.006834429,3.059962,(0.0, 0.1),0,0,0,0,0
4.3,PlayerRed,0.009063721,-0.09742737,-0.00704031,3.061479,(0.0, 0.1),0,0,0,0,0
4.32,PlayerRed,0.009063721,-0.09742737,-0.007240658,3.062999,(0.0, 0.1),0,0,0,0,0
4.34,PlayerRed,0.009063721,-0.09742737,-0.007435976,3.064524,(0.0, 0.1),0,0,0,0,0
4.36,PlayerRed,0.009063721,-0.09742737,-0.007626722,3.066051,(0.0, 0.1),0,0,0,0,0
4.38,PlayerRed,0.009063721,-0.09742737,-0.00781331,3.067581,(0.0, 0.1),0,0,0,0,0
4.4,PlayerRed,0.009063721,-0.09742737,-0.00799612,3.069114,(0.0, 0.1),0,0,0,0,0
4.42,PlayerRed,0.009063721,-0.09742737,-0.008175494,3.070649,(0.0, 0.1),0,0,0,0,0
4.44,PlayerRed,0.009063721,-0.09742737,-0.008351745,3.072186,(0.0, 0.1),0,0,0,0,0
4.46,PlayerRed,0.009063721,-0.09742737,-0.008525157,3.073726,(0.0, 0.1),0,0,0,0,0
4.48,PlayerRed,0.009063721,-0.09742737,-0.008695988,3.075267,(0.0, 0.1),0,0,0,0,0
4.5,PlayerRed,0.009063721,-0.09742737,-0.008864473,3.07681,(0.0, 0.1),0,0,0,0,0
4.52,PlayerRed,0.009063721,-0.09742737,-0.009030824,3.078354,(0.0, 0.1),0,0,0,0,0
4.54,PlayerRed,0.009063721,-0.09742737,-0.009195236,3.079899,(0.0, 0.1),0,0,0,0,0
4.56,PlayerRed,0.009063721,-0.09742737,-0.009357885,3.081446,(0.0, 0.1),0,0,0,0,0
4.58,PlayerRed,0.009063721,-0.09742737,-0.009518931,3.082994,(0.0, 0.1),0,0,0,0,0
4.6,PlayerRed,0.009063721,-0.09742737,-0.00967852,3.084543,(0.0, 0.1),0,0,0,0,0
4.62,PlayerRed,0.009063721,-0.09742737,-0.009836785,3.086092,(0.0, 0.1),0,0,0,0,0
4.64,PlayerRed,0.009063721,-0.09742737,-0.009993847,3.087643,(0.0, 0.1),0,0,0,0,0
