Time.time,PlayerName,accelerometerRawX,accelerometerRawY,playerPosX,playerPosY,playerVelocity,puckPosX,puckPosY,puckVelocity,scoreBlue,scoreRed
5.02,PlayerBlue,-1.685518,4.933971,0.7724962,-4.454933,(-1.2, 0.3),0,0,0,0,0
5.04,PlayerBlue,-1.685518,4.933971,0.753678,-4.45662,(-0.9, -0.1),0,0,0,0,0
5.06,PlayerBlue,-1.685518,4.933971,0.7390222,-4.465331,(-0.7, -0.4),0,0,0,0,0
5.08,PlayerBlue,-1.685518,4.933971,0.7281504,-4.480426,(-0.5, -0.8),0,0,0,0,0
5.1,PlayerBlue,-1.685518,4.933971,0.7207186,-4.501326,(-0.4, -1.0),0,0,0,0,0
5.12,PlayerBlue,-1.685518,4.933971,0.7164142,-4.527502,(-0.2, -1.3),0,0,0,0,0
5.14,PlayerBlue,-1.685518,4.933971,0.7149526,-4.558475,(-0.1, -1.5),0,0,0,0,0
5.16,PlayerBlue,-1.685518,4.933971,0.7160757,-4.59381,(0.1, -1.8),0,0,0,0,0
5.18,PlayerBlue,-1.685518,4.933971,0.7195482,-4.633109,(0.2, -2.0),0,0,0,0,0
5.2,PlayerBlue,-1.685518,4.933971,0.7251568,-4.676012,(0.3, -2.1),0,0,0,0,0
5.22,PlayerBlue,-1.838747,5.393658,0.7327071,-4.722191,(0.4, -2.3),0,0,0,0,0
5.24,PlayerBlue,-1.838747,5.393658,0.7422456,-4.672365,(0.5, 2.5),0,0,0,0,0
5.26,PlayerBlue,-1.838747,5.393658,0.7535915,-4.634913,(0.6, 1.9),0,0,0,0,0
5.28,PlayerBlue,-1.838747,5.393658,0.7665805,-4.608711,(0.6, 1.3),0,0,0,0,0
5.3,PlayerBlue,-1.838747,5.393658,0.7810633,-4.592737,(0.7, 0.8),0,0,0,0,0
5.32,PlayerBlue,-1.838747,5.393658,0.7819597,-4.584445,(0.0, 0.4),0,0,0,0,0
5.34,PlayerBlue,-1.838747,5.393658,0.7819672,-4.584375,(0.0, 0.0),0,0,0,0,0
5.36,PlayerBlue,-1.838747,5.393658,0.7811666,-4.591781,(0.0, -0.4),0,0,0,0,0
5.38,PlayerBlue,-1.685518,3.861369,0.7796313,-4.605982,(-0.1, -0.7),0,0,0,0,0
5.4,PlayerBlue,-1.685518,3.861369,0.7776638,-4.624182,(-0.1, -0.9),0,0,0,0,0
5.42,PlayerBlue,-1.685518,3.861369,0.7753032,-4.646017,(-0.1, -1.1),0,0,0,0,0
5.44,PlayerBlue,-1.685518,3.861369,0.7725855,-4.671157,(-0.1, -1.3),0,0,0,0,0
5.46,PlayerBlue,-1.685518,3.861369,0.7673516,-4.698635,(-0.3, -1.4),0,0,0,0,0
5.48,PlayerBlue,-1.685518,3.861369,0.761647,-4.728583,(-0.3, -1.5),0,0,0,0,0
5.5,PlayerBlue,-1.685518,3.861369,0.7589127,-4.695741,(-0.1, 1.6),0,0,0,0,0
5.52,PlayerBlue,-1.685518,3.861369,0.7588787,-4.6715,(0.0, 1.2),0,0,0,0,0
5.54,PlayerBlue,-1.685518,3.861369,0.7612994,-4.65508,(0.1, 0.8),0,0,0,0,0
5.56,PlayerBlue,-1.685518,3.861369,0.7659518,-4.645769,(0.2, 0.5),0,0,0,0,0
5.58,PlayerBlue,-1.685518,3.861369,0.7726328,-4.64292,(0.3, 0.1),0,0,0,0,0
5.6,PlayerBlue,-1.685518,3.861369,0.7811581,-4.645948,(0.4, -0.2),0,0,0,0,0
5.62,PlayerBlue,-1.685518,3.861369,0.779456,-4.652662,(-0.1, -0.3),0,0,0,0,0
5.64,PlayerBlue,-1.685518,3.861369,0.7771883,-4.663759,(-0.1, -0.6),0,0,0,0,0
5.66,PlayerBlue,-1.072602,0.3371036,0.7743173,-4.678832,(-0.1, -0.8),0,0,0,0,0
5.68,PlayerBlue,-1.072602,0.3371036,0.7716718,-4.692721,(-0.1, -0.7),0,0,0,0,0
5.7,PlayerBlue,-1.072602,0.3371036,0.7681025,-4.705049,(-0.2, -0.6),0,0,0,0,0
5.72,PlayerBlue,-1.072602,0.3371036,0.7650196,-4.716365,(-0.2, -0.6),0,0,0,0,0
5.74,PlayerBlue,-1.072602,0.3371036,0.7622203,-4.726722,(-0.1, -0.5),0,0,0,0,0
5.76,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.725672,(0.0, 0.0),0,0,0,0,0
5.78,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.724833,(0.0, 0.0),0,0,0,0,0
5.8,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.724161,(0.0, 0.0),0,0,0,0,0
5.82,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.723623,(0.0, 0.0),0,0,0,0,0
5.84,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.723193,(0.0, 0.0),0,0,0,0,0
5.86,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.722849,(0.0, 0.0),0,0,0,0,0
5.88,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.722574,(0.0, 0.0),0,0,0,0,0
5.9,PlayerBlue,-1.072602,0.3371036,0.7612357,-4.722354,(0.0, 0.0),0,0,0,0,0
5.92,PlayerBlue,-0.9193735,-0.275812,0.7612357,-4.722178,(0.0, 0.0),0,0,0,0,0
5.94,PlayerBlue,-0.9193735,-0.275812,0.762573,-4.721716,(0.1, 0.0),0,0,0,0,0
5.96,PlayerBlue,-0.9193735,-0.275812,0.7628249,-4.720394,(0.0, 0.1),0,0,0,0,0
5.98,PlayerBlue,-0.9193735,-0.275812,0.7631745,-4.718559,(0.0, 0.1),0,0,0,0,0
